FID IID race
0 HG00098 EUR
0 HG00100 EUR
0 HG00106 EUR
0 HG00112 EUR
0 HG00114 EUR
0 HG00116 EUR
0 HG00117 EUR
0 HG00118 EUR
0 HG00119 EUR
0 HG00120 EUR
0 HG00122 EUR
0 HG00123 EUR
0 HG00124 EUR
0 HG00126 EUR
0 HG00131 EUR
0 HG00141 EUR
0 HG00142 EUR
0 HG00143 EUR
0 HG00144 EUR
0 HG00145 EUR
0 HG00146 EUR
0 HG00147 EUR
0 HG00148 EUR
0 HG00149 EUR
0 HG00150 EUR
0 HG00151 EUR
0 HG00152 EUR
0 HG00153 EUR
0 HG00156 EUR
0 HG00158 EUR
0 HG00159 EUR
0 HG00160 EUR
0 HG00171 EUR
0 HG00173 EUR
0 HG00174 EUR
0 HG00176 EUR
0 HG00177 EUR
0 HG00178 EUR
0 HG00179 EUR
0 HG00180 EUR
0 HG00181 EUR
0 HG00182 EUR
0 HG00183 EUR
0 HG00185 EUR
0 HG00186 EUR
0 HG00187 EUR
0 HG00188 EUR
0 HG00189 EUR
0 HG00190 EUR
0 HG00231 EUR
0 HG00239 EUR
0 HG00242 EUR
0 HG00243 EUR
0 HG00244 EUR
0 HG00245 EUR
0 HG00247 EUR
0 HG00258 EUR
0 HG00262 EUR
0 HG00264 EUR
0 HG00265 EUR
0 HG00266 EUR
0 HG00267 EUR
0 HG00269 EUR
0 HG00270 EUR
0 HG00272 EUR
0 HG00306 EUR
0 HG00308 EUR
0 HG00311 EUR
0 HG00312 EUR
0 HG00357 EUR
0 HG00361 EUR
0 HG00366 EUR
0 HG00367 EUR
0 HG00368 EUR
0 HG00369 EUR
0 HG00372 EUR
0 HG00373 EUR
0 HG00377 EUR
0 HG00380 EUR
0 HG00403 ASN
0 HG00404 ASN
0 HG00406 ASN
0 HG00407 ASN
0 HG00445 ASN
0 HG00446 ASN
0 HG00452 ASN
0 HG00457 ASN
0 HG00553 AMR
0 HG00554 AMR
0 HG00559 ASN
0 HG00560 ASN
0 HG00565 ASN
0 HG00566 ASN
0 HG00577 ASN
0 HG00578 ASN
0 HG00592 ASN
0 HG00593 ASN
0 HG00596 ASN
0 HG00610 ASN
0 HG00611 ASN
0 HG00625 ASN
0 HG00626 ASN
0 HG00628 ASN
0 HG00629 ASN
0 HG00634 ASN
0 HG00635 ASN
0 HG00637 AMR
0 HG00638 AMR
0 HG00640 AMR
1328 NA06984 EUR
0 NA06984 EUR
0 NA06985 EUR
13291 NA06986 EUR
0 NA06986 EUR
1328 NA06989 EUR
0 NA06989 EUR
0 NA06994 EUR
1340 NA07000 EUR
0 NA07000 EUR
13291 NA07037 EUR
0 NA07037 EUR
0 NA07048 EUR
13292 NA07051 EUR
0 NA07051 EUR
1340 NA07056 EUR
0 NA07056 EUR
1345 NA07346 EUR
0 NA07346 EUR
0 NA07347 EUR
1345 NA07357 EUR
0 NA07357 EUR
0 NA10847 EUR
0 NA10851 EUR
1350 NA11829 EUR
0 NA11829 EUR
0 NA11830 EUR
1350 NA11831 EUR
0 NA11831 EUR
0 NA11832 EUR
0 NA11840 EUR
1349 NA11843 EUR
0 NA11843 EUR
1347 NA11881 EUR
0 NA11881 EUR
1377 NA11892 EUR
0 NA11892 EUR
1377 NA11893 EUR
0 NA11893 EUR
0 NA11894 EUR
1423 NA11918 EUR
0 NA11918 EUR
1423 NA11919 EUR
0 NA11919 EUR
0 NA11920 EUR
1424 NA11930 EUR
0 NA11930 EUR
0 NA11931 EUR
0 NA11932 EUR
0 NA11933 EUR
1362 NA11992 EUR
0 NA11992 EUR
1362 NA11993 EUR
0 NA11993 EUR
1362 NA11994 EUR
0 NA11994 EUR
0 NA11995 EUR
1420 NA12003 EUR
0 NA12003 EUR
0 NA12004 EUR
0 NA12005 EUR
1420 NA12006 EUR
0 NA12006 EUR
1346 NA12043 EUR
0 NA12043 EUR
1346 NA12044 EUR
0 NA12044 EUR
1346 NA12045 EUR
0 NA12045 EUR
0 NA12046 EUR
0 NA12058 EUR
